Reference,Description,Price A,Category,Codigo de Barra,Rubro,Sub Rubro,Cant x Bulto,Stock,Comprado,Pendiente,Disponible,Temporada,Marca,Características,Observaciones,Price F,Tipo
GNP-2040N,POLO - GNP-2040 - NAVY,7.5,,_616245039318,HOMBRES,POLOS,48,96,0,0,96,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNP-2040W,POLO - GNP-2040 - WHITE,7.5,,_616245039325,HOMBRES,POLOS,48,96,0,0,96,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
HAT-PTY,MENS POLYESTER TRICOT VEST,0,JACKET,,HOMBRES,JACKETS,48,160,0,0,160,,SIN MARCA,,,0,REGULAR
HG001,TERMOMETRO DIGITAL,0,,,SIN RUBRO,SIN SUB-RUBRO,50,480,0,0,480,,SIN MARCA,TEMOMETRO,,0,REGULAR
N023550,MENS PREMIUM SHIRT - BLACK 2,5,,_none,HOMBRES,T-SHIRT,48,0,600,0,600,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023551,MENS NO BRAND BASIC R - WHITE 166,5,,_none,HOMBRES,T-SHIRT,48,0,480,0,480,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023552,MENS NO BRAND BASIC R - LT GREY 37,5,,_none,HOMBRES,T-SHIRT,48,0,288,0,288,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023553,Mens Premium Basic T - DK GREY 94,5,,_none,HOMBRES,T-SHIRT,48,0,288,0,288,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023554,MENS NO BRAND BASIC R - NAVY 127,5,,_none,HOMBRES,T-SHIRT,48,13,288,0,301,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023555,MENS NO BRAND BASIC R -  WINE 47,5,,_none,HOMBRES,T-SHIRT,48,25,288,0,313,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023558,MENS NO BRAND BASIC R - BLUE 158,5,,,HOMBRES,T-SHIRT,48,167,0,0,167,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023561,MENS NO BRAND BASIC R - ROSE 92,5,,,HOMBRES,T-SHIRT,48,33,0,0,33,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023564,MENS NO BRAND BASIC R - BRICK 138,5,,,HOMBRES,T-SHIRT,48,42,0,0,42,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023570,MENS PREMIUM SHIRT - BLACK 02,5,,,HOMBRES,T-SHIRT,48,63,480,0,543,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023571,MENS PREMIUM SHIRT - WHITE 166,5,,,HOMBRES,T-SHIRT,48,0,360,0,360,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023572,MENS NO BRAND BASIC V - LT GR 003,5,,,HOMBRES,T-SHIRT,48,47,0,0,47,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023573,MENS NO BRAND BASIC V - DK GR 009,5,,,HOMBRES,T-SHIRT,48,214,0,0,214,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023574,Mens NO BRAND Basic V Neck - Navy 127,5,,,HOMBRES,T-SHIRT,48,192,0,0,192,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023577,MENS NO BRAND BASIC V NECK - OLIVE 61,5,,,HOMBRES,T-SHIRT,48,240,0,0,240,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N023580,MENS NO BRAND BASIC V - BRICK 138,5,,,HOMBRES,T-SHIRT,48,85,0,0,85,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N024402,MENS NO BRAND BASIC R - SEA BLUE 261,5,,,HOMBRES,T-SHIRT,48,35,0,0,35,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N024407,MENS NO BRAND BASIC R - TANG ORANGE 186,5,,,HOMBRES,T-SHIRT,48,36,0,0,36,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N024410,MENS NO BRAND BASIC R - BR YELLOW 73,5,,,HOMBRES,T-SHIRT,48,71,0,0,71,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N024508,MENS NO BRAND BASIC V - ORANGE 132,5,,,HOMBRES,T-SHIRT,48,146,0,0,146,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N024510,MENS NO BRAND BASIC V - BR YELLOW,5,,,HOMBRES,T-SHIRT,48,24,0,0,24,BASICO,SIN MARCA,Solid Color Pack Tallas S-M-L-XL,,0,REGULAR
N043051,MENS NO BRAND POLO - TEAL 051,7.5,,,HOMBRES,POLOS,48,12,0,0,12,BASICO,SIN MARCA,Solid Color Packing - S2 M4 L4 XL2,,0,REGULAR
N050170,MENS BASIC TRACK PANTS - BLACK,9,,_NIL,HOMBRES,PANTALON,24,228,0,192,36,BASICO,SIN MARCA,"SOLID COLOR BLACK, TALLAS S-XL",,0,REGULAR
N050171,MENS BASIC TRACK PANTS - DK GREY HT,9,,_NIL,HOMBRES,PANTALON,24,276,0,144,132,BASICO,SIN MARCA,"SOLID COLOR DK GREY, TALLAS S-XL",,0,REGULAR
